"filename", "language", "JSON", "JavaScript", "CSS", "wxml", "comment", "blank", "total"
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mycomment/mycomment.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mycomment/mycomment.wxml", "wxml", 0, 0, 0, 1, 1, 1, 3
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mycomment/mycomment.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mylike/mylike.js", "JavaScript", 0, 68, 0, 0, 31, 19, 118
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mylike/mylike.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mylike/mylike.wxml", "wxml", 0, 0, 0, 17, 1, 3, 21
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/mylike/mylike.wxss", "CSS", 0, 0, 22, 0, 1, 3, 26
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/random/random.js", "JavaScript", 0, 141, 0, 0, 30, 28, 199
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/random/random.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/random/random.wxml", "wxml", 0, 0, 0, 40, 1, 4, 45
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/random/random.wxss", "CSS", 0, 0, 62, 0, 1, 10, 73
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/success/success.js", "JavaScript", 0, 26, 0, 0, 41, 21, 88
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/success/success.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/success/success.wxml", "wxml", 0, 0, 0, 18, 4, 3, 25
"/Users/vecpeng/Documents/code/frontend/hustcats/hustCats/pages/success/success.wxss", "CSS", 0, 0, 21, 0, 11, 5, 37
"Total", "-", 69, 2200, 1484, 1295, 1080, 871, 6999
